S No,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
1,466,Ahilyanagar,अहिल्यानगर,Maharashtra(State),AHN,26,522,Not Covered,,,,
2,467,Akola,अकोला,Maharashtra(State),AKO,05,501,Not Covered,,,,
3,468,Amravati,अमरावती,Maharashtra(State),AMV,07,503,Not Covered,,,,
4,470,Beed,बीड,Maharashtra(State),BEE,27,523,Not Covered,,,,
5,471,Bhandara,भंडारा,Maharashtra(State),BHA,10,506,Not Covered,,,,
6,472,Buldhana,बुलढाणा,Maharashtra(State),BUL,04,500,Not Covered,,,,
7,473,Chandrapur,चंद्रपूर,Maharashtra(State),CPR,13,509,Partially Covered,,,,
8,469,Chhatrapati Sambhajinagar,छत्रपती संभाजीनगर,Maharashtra(State),AUR,19,515,Not Covered,,,,
9,488,Dharashiv,धाराशिव,Maharashtra(State),OSM,29,525,Not Covered,,,,
10,474,Dhule,धुळे,Maharashtra(State),DHU,02,498,Not Covered,,,,
11,475,Gadchiroli,गडचिरोली,Maharashtra(State),GDC,12,508,Not Covered,,,,
12,476,Gondia,गोंदीया,Maharashtra(State),GON,11,507,Not Covered,,,,
13,477,Hingoli,हिंगोली,Maharashtra(State),HIN,16,512,Not Covered,,,,
14,478,Jalgaon,जळगाव,Maharashtra(State),JLG,03,499,Partially Covered,,,,
15,479,Jalna,जालना,Maharashtra(State),JAL,18,514,Not Covered,,,,
16,480,Kolhapur,कोल्हापूर,Maharashtra(State),KLP,34,530,Not Covered,,,,
17,481,Latur,लातूर,Maharashtra(State),LTR,28,524,Not Covered,,,,
18,482,Mumbai,मुंबई,Maharashtra(State),MMB,23,519,Not Covered,,,,
19,483,Mumbai Suburban,मुंबई उपनगर,Maharashtra(State),MMS,22,518,Not Covered,,,,
20,484,Nagpur,नागपूर,Maharashtra(State),NGP,09,505,Not Covered,,,,
21,485,Nanded,नांदेड,Maharashtra(State),NAN,15,511,Not Covered,,,,
22,486,Nandurbar,नंदूरबार,Maharashtra(State),NNR,01,497,Not Covered,,,,
23,487,Nashik,नाशिक,Maharashtra(State),NSH,20,516,Not Covered,,,,
24,665,Palghar,पालघर,Maharashtra(State),PLG,,000,Not Covered,,,,
25,489,Parbhani,परभणी,Maharashtra(State),PBN,17,513,Not Covered,,,,
26,490,Pune,पुणे,Maharashtra(State),PUN,25,521,Not Covered,,,,
27,491,Raigad,रायगड,Maharashtra(State),RGD,24,520,Not Covered,,,,
28,492,Ratnagiri,रत्नागिरी,Maharashtra(State),RTN,32,528,Not Covered,,,,
29,493,Sangli,सांगली,Maharashtra(State),SNG,35,531,Not Covered,,,,
30,494,Satara,सातारा,Maharashtra(State),SAT,31,527,Not Covered,,,,
31,495,Sindhudurg,सिंधुदुर्ग,Maharashtra(State),SIN,33,529,Not Covered,,,,
32,496,Solapur,सोलापूर,Maharashtra(State),SOL,30,526,Not Covered,,,,
33,497,Thane,ठाणे,Maharashtra(State),THN,21,517,Not Covered,,,,
34,498,Wardha,वर्धा,Maharashtra(State),WRD,08,504,Not Covered,,,,
35,499,Washim,वाशिम,Maharashtra(State),WSH,06,502,Not Covered,,,,
36,500,Yavatmal,यवतमाळ,Maharashtra(State),YVT,14,510,Not Covered,,,,
